epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,79.5976,0.78633,0.2079,0.22827,0.53745,1.0258,0.99791,1,0.995,0.76243,0.99791,1,0.995,0.995,0.93814,0.11423,0.04131,0.41378,1.00155,0.0014456,0.0014456,0.0014456
30,81.1202,0.78422,0.16274,0.19022,0.50676,1.03366,0.99762,1,0.995,0.77416,0.99762,1,0.995,0.995,0.94028,0.07785,0.02125,0.42249,1.00099,0.0014258,0.0014258,0.0014258
31,82.6081,0.7779,0.18555,0.2004,0.51919,1.02139,0.99739,1,0.995,0.78876,0.99739,1,0.995,0.995,0.90367,0.10871,0.01042,0.41103,0.99399,0.001406,0.001406,0.001406
32,84.0941,0.75125,0.18745,0.16624,0.54146,1.01052,0.9975,1,0.995,0.77592,0.9975,1,0.995,0.995,0.91424,0.07963,0.01067,0.38354,1.00999,0.0013862,0.0013862,0.0013862
33,85.6314,0.73201,0.20094,0.19614,0.48551,0.95929,0.99761,1,0.995,0.77212,0.99761,1,0.995,0.995,0.90127,0.09761,0.01366,0.38628,1.01794,0.0013664,0.0013664,0.0013664
34,87.1564,0.77903,0.14404,0.1741,0.50868,0.98768,0.9979,1,0.995,0.76858,0.9979,1,0.995,0.995,0.92526,0.09828,0.01534,0.37765,1.02676,0.0013466,0.0013466,0.0013466
35,88.6706,0.73169,0.19066,0.20107,0.50501,0.97149,0.99797,1,0.995,0.77704,0.99797,1,0.995,0.995,0.89646,0.09435,0.01424,0.36031,1.02186,0.0013268,0.0013268,0.0013268
36,90.2983,0.70911,0.18525,0.19887,0.4695,0.97672,0.99768,1,0.995,0.78397,0.99768,1,0.995,0.995,0.90835,0.09336,0.01835,0.37662,1.01254,0.001307,0.001307,0.001307
37,91.7804,0.70665,0.15793,0.19946,0.47676,0.99209,0.99757,1,0.995,0.75308,0.99757,1,0.995,0.995,0.92152,0.09283,0.01655,0.39108,1.01629,0.0012872,0.0012872,0.0012872
38,93.2857,0.72847,0.16037,0.1798,0.50281,0.98737,0.99781,1,0.995,0.75109,0.99781,1,0.995,0.995,0.91196,0.07556,0.01241,0.40835,1.01844,0.0012674,0.0012674,0.0012674
39,94.7436,0.73191,0.17817,0.21976,0.48005,1.00115,0.99787,1,0.995,0.75444,0.99787,1,0.995,0.995,0.93476,0.07748,0.01791,0.39872,1.0225,0.0012476,0.0012476,0.0012476
40,96.2557,0.74232,0.15377,0.20885,0.51514,0.99153,0.99784,1,0.995,0.76494,0.99784,1,0.995,0.995,0.92742,0.08621,0.01628,0.40537,1.02449,0.0012278,0.0012278,0.0012278
41,97.8997,0.73882,0.17074,0.16025,0.49021,0.97914,0.99787,1,0.995,0.77202,0.99787,1,0.995,0.995,0.90583,0.10849,0.00981,0.40004,1.01188,0.001208,0.001208,0.001208
42,99.5317,0.7139,0.15899,0.15674,0.45978,0.97463,0.99794,1,0.995,0.76948,0.99794,1,0.995,0.995,0.91284,0.10154,0.01072,0.38276,1.01064,0.0011882,0.0011882,0.0011882
43,101.285,0.72523,0.16407,0.19173,0.49912,0.99217,0.99797,1,0.995,0.77788,0.99797,1,0.995,0.995,0.90007,0.08866,0.01392,0.36521,1.00401,0.0011684,0.0011684,0.0011684
44,102.988,0.73533,0.22401,0.23562,0.53419,0.99429,0.99777,1,0.995,0.74199,0.99777,1,0.995,0.995,0.93394,0.07814,0.01364,0.41133,1.02052,0.0011486,0.0011486,0.0011486
45,104.478,0.76322,0.16877,0.18395,0.47498,0.97678,0.99764,1,0.995,0.75213,0.99764,1,0.995,0.995,0.98168,0.08072,0.01021,0.44226,1.0309,0.0011288,0.0011288,0.0011288
46,105.964,0.75169,0.22305,0.23469,0.49394,0.9933,0.99736,1,0.995,0.76556,0.99736,1,0.995,0.995,0.92874,0.09205,0.00956,0.41221,1.01602,0.001109,0.001109,0.001109
47,107.475,0.70367,0.19156,0.21778,0.49016,0.97929,0.99695,1,0.995,0.75762,0.99695,1,0.995,0.995,0.91821,0.0971,0.00862,0.40076,1.01016,0.0010892,0.0010892,0.0010892
48,108.9,0.74299,0.19338,0.17227,0.49776,0.98941,0.99657,1,0.995,0.76601,0.99657,1,0.995,0.995,0.90512,0.08552,0.0074,0.38701,0.99926,0.0010694,0.0010694,0.0010694
49,110.521,0.72233,0.17493,0.18491,0.48912,0.98545,0.99622,1,0.995,0.77606,0.99622,1,0.995,0.995,0.8881,0.07275,0.01,0.38672,0.98676,0.0010496,0.0010496,0.0010496
50,112.165,0.72214,0.17108,0.1944,0.51186,1.00261,0.99962,1,0.995,0.77584,0.99962,1,0.995,0.995,0.87182,0.08604,0.0175,0.3785,0.98156,0.0010298,0.0010298,0.0010298
51,113.761,0.70009,0.15204,0.17364,0.49741,0.9758,0.99763,1,0.995,0.78107,0.99763,1,0.995,0.99116,0.8715,0.09214,0.01411,0.35371,0.98664,0.00101,0.00101,0.00101
52,115.407,0.67657,0.1527,0.17216,0.45197,0.9519,0.99777,1,0.995,0.79614,0.99777,1,0.995,0.995,0.84701,0.08956,0.00877,0.35475,0.98208,0.0009902,0.0009902,0.0009902
53,116.872,0.62673,0.13781,0.17466,0.46851,0.9427,0.99784,1,0.995,0.80998,0.99784,1,0.995,0.995,0.83806,0.07909,0.00875,0.36816,0.98049,0.0009704,0.0009704,0.0009704
54,118.604,0.71957,0.20672,0.17412,0.44747,0.98051,0.99765,1,0.995,0.7955,0.99765,1,0.995,0.995,0.87243,0.07856,0.0126,0.3762,0.98887,0.0009506,0.0009506,0.0009506
55,120.162,0.66558,0.12234,0.14805,0.45787,0.96957,0.99755,1,0.995,0.78341,0.99755,1,0.995,0.995,0.88022,0.07831,0.01383,0.37446,0.99436,0.0009308,0.0009308,0.0009308
56,121.684,0.68033,0.16322,0.18844,0.45376,0.9611,0.99768,1,0.995,0.76961,0.99768,1,0.995,0.995,0.88992,0.06268,0.0117,0.36053,0.98828,0.000911,0.000911,0.000911
57,123.238,0.69459,0.13422,0.19702,0.46722,1.0005,0.99777,1,0.995,0.76872,0.99777,1,0.995,0.995,0.89245,0.0769,0.01158,0.35026,0.99175,0.0008912,0.0008912,0.0008912
