epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,132.745,1.47053,4.55448,0.80511,0.24582,0.6712,0.37253,0.24037,1.31084,1.7576,0.81106,0.000569094,0.000569094,0.000569094
43,136.02,1.3341,4.23818,0.81224,0.27521,0.71053,0.39123,0.2413,1.3233,1.71013,0.81409,0.000565559,0.000565559,0.000565559
44,139.279,1.39612,4.1002,0.81533,0.24137,0.65995,0.39694,0.24921,1.30119,1.70221,0.81245,0.000562025,0.000562025,0.000562025
45,142.538,1.30698,4.07803,0.80111,0.26309,0.62295,0.39951,0.24722,1.30663,1.66114,0.81217,0.000558491,0.000558491,0.000558491
46,145.806,1.37778,4.16896,0.8074,0.2545,0.63322,0.42621,0.26962,1.30333,1.69734,0.81157,0.000554956,0.000554956,0.000554956
47,149.082,1.35977,3.94929,0.82909,0.2805,0.60678,0.43912,0.27834,1.32101,1.65462,0.8119,0.000551422,0.000551422,0.000551422
48,152.33,1.34626,3.97915,0.81152,0.29665,0.50618,0.44697,0.28657,1.32187,1.64504,0.81519,0.000547888,0.000547888,0.000547888
49,155.643,1.44415,4.31113,0.80633,0.33054,0.59589,0.45459,0.28448,1.33645,1.66715,0.81663,0.000544354,0.000544354,0.000544354
50,158.878,1.36143,3.97018,0.81777,0.36465,0.65145,0.47875,0.31251,1.27509,1.64398,0.81517,0.000540819,0.000540819,0.000540819
51,162.112,1.34259,3.83205,0.81332,0.35839,0.55799,0.49337,0.31115,1.31231,1.62468,0.8159,0.000537285,0.000537285,0.000537285
52,165.354,1.38315,4.17023,0.83694,0.35282,0.5852,0.46337,0.29945,1.25241,1.59651,0.81155,0.000533751,0.000533751,0.000533751
53,168.613,1.32617,3.93513,0.80876,0.35741,0.56407,0.47679,0.30168,1.29968,1.60066,0.81159,0.000530216,0.000530216,0.000530216
54,171.784,1.40157,4.141,0.82086,0.32192,0.64733,0.50489,0.31707,1.32426,1.59381,0.81359,0.000526682,0.000526682,0.000526682
55,174.994,1.38673,4.00093,0.80868,0.37782,0.57038,0.52497,0.34008,1.27573,1.55759,0.8115,0.000523148,0.000523148,0.000523148
56,178.285,1.39444,3.89367,0.82236,0.42462,0.57794,0.54531,0.35476,1.29329,1.5303,0.81397,0.000519613,0.000519613,0.000519613
57,181.487,1.32156,3.92287,0.80359,0.3999,0.5921,0.55177,0.35043,1.27805,1.55673,0.81391,0.000516079,0.000516079,0.000516079
58,184.664,1.3035,3.95391,0.80521,0.44064,0.64628,0.57928,0.37697,1.26037,1.53794,0.81208,0.000512545,0.000512545,0.000512545
59,187.988,1.36843,4.02599,0.80196,0.36673,0.70757,0.56085,0.35791,1.27728,1.47403,0.81493,0.000509011,0.000509011,0.000509011
60,191.197,1.33743,3.71688,0.79396,0.38824,0.62434,0.56398,0.36476,1.26423,1.47567,0.81462,0.000505476,0.000505476,0.000505476
61,194.382,1.36235,3.70148,0.81479,0.39509,0.64521,0.56088,0.36515,1.2686,1.48287,0.8124,0.000501942,0.000501942,0.000501942
62,197.622,1.19798,3.33105,0.80377,0.39824,0.69115,0.5889,0.37163,1.21435,1.44147,0.80965,0.000498408,0.000498408,0.000498408
63,200.771,1.27058,3.44402,0.81387,0.42391,0.68932,0.59834,0.37746,1.22629,1.44334,0.80887,0.000494873,0.000494873,0.000494873
64,203.935,1.36636,3.65893,0.80871,0.5781,0.46286,0.61173,0.37621,1.2358,1.487,0.80511,0.000491339,0.000491339,0.000491339
65,207.112,1.23197,3.41207,0.80223,0.57407,0.53054,0.58191,0.36382,1.22711,1.52398,0.80562,0.000487805,0.000487805,0.000487805
66,210.32,1.36646,3.73551,0.81089,0.35554,0.76829,0.60833,0.37657,1.26699,1.422,0.80778,0.000484271,0.000484271,0.000484271
67,213.587,1.34092,3.48266,0.79922,0.37999,0.72847,0.59223,0.37379,1.30449,1.43481,0.81066,0.000480736,0.000480736,0.000480736
