epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,582.955,1.06137,1.74453,0.79668,0.8079,0.87606,0.90584,0.62916,1.11601,0.93429,0.79879,7.7826e-05,7.7826e-05,7.7826e-05
182,586.238,1.10311,1.83946,0.7999,0.79144,0.89925,0.90664,0.62791,1.10801,0.92523,0.79906,7.42917e-05,7.42917e-05,7.42917e-05
183,589.515,1.07726,1.65003,0.78915,0.78023,0.89115,0.90069,0.6149,1.11002,0.94182,0.80068,7.07574e-05,7.07574e-05,7.07574e-05
184,592.767,1.04589,1.6187,0.80247,0.76616,0.86761,0.89385,0.61942,1.11297,0.9365,0.79994,6.72231e-05,6.72231e-05,6.72231e-05
185,596.015,1.06547,1.80934,0.78877,0.7625,0.86485,0.89406,0.62412,1.1029,0.93369,0.80159,6.36888e-05,6.36888e-05,6.36888e-05
186,599.25,1.10326,1.82107,0.79314,0.7789,0.84752,0.88934,0.62625,1.1017,0.94212,0.80113,6.01545e-05,6.01545e-05,6.01545e-05
187,602.522,1.09582,1.72215,0.79742,0.84281,0.80028,0.89158,0.59711,1.10949,0.97622,0.79787,5.66202e-05,5.66202e-05,5.66202e-05
188,605.789,1.05342,1.7173,0.78257,0.77789,0.86652,0.88707,0.60159,1.11339,0.98474,0.79728,5.30859e-05,5.30859e-05,5.30859e-05
189,609.045,1.03443,1.65691,0.80933,0.77336,0.85107,0.89019,0.59931,1.11547,0.98978,0.79761,4.95516e-05,4.95516e-05,4.95516e-05
190,612.331,1.07173,1.56825,0.79923,0.78204,0.87662,0.90136,0.61165,1.11397,0.99155,0.79885,4.60173e-05,4.60173e-05,4.60173e-05
191,615.872,1.05001,1.90233,0.80103,0.77552,0.87851,0.89223,0.60393,1.0985,0.98076,0.79913,4.2483e-05,4.2483e-05,4.2483e-05
192,619.113,1.0267,2.00142,0.79231,0.77652,0.87271,0.88864,0.5899,1.12064,0.98249,0.79992,3.89487e-05,3.89487e-05,3.89487e-05
193,622.388,1.04891,2.07497,0.7903,0.7931,0.8621,0.89087,0.58949,1.12166,0.96332,0.79949,3.54144e-05,3.54144e-05,3.54144e-05
194,625.598,1.01785,1.87943,0.7933,0.8156,0.8233,0.89709,0.59141,1.12292,0.96844,0.80008,3.18801e-05,3.18801e-05,3.18801e-05
195,628.823,0.99002,1.85603,0.80454,0.81754,0.83499,0.89975,0.59327,1.124,0.97509,0.79992,2.83458e-05,2.83458e-05,2.83458e-05
196,632.089,1.00424,1.82814,0.79906,0.83129,0.83297,0.89793,0.59564,1.10961,0.97164,0.79955,2.48115e-05,2.48115e-05,2.48115e-05
197,635.739,0.99988,1.79974,0.79161,0.93308,0.76537,0.90003,0.59257,1.10902,0.95888,0.80028,2.12772e-05,2.12772e-05,2.12772e-05
198,640.098,1.04421,1.91295,0.78048,0.92871,0.76005,0.89974,0.59928,1.11845,0.97213,0.79994,1.77429e-05,1.77429e-05,1.77429e-05
199,643.323,1.02733,1.89703,0.80337,0.90127,0.77458,0.90368,0.59266,1.12053,0.96279,0.79997,1.42086e-05,1.42086e-05,1.42086e-05
200,646.563,1.01561,1.80872,0.79822,0.82065,0.83946,0.89715,0.59217,1.11551,0.95994,0.80033,1.06743e-05,1.06743e-05,1.06743e-05
